symbol,tf,macd,adx_thr,vol_lb,tgt_vol,IS_Sharpe,IS_MaxDD,IS_Trades,OOS_Sharpe,OOS_MaxDD,OOS_Trades
BTC-USD,4h,8/26/9,25,20,0.015,0.0,-8.808925157583625,123,0.20218019998163564,-2.590526895633627,37
BTC-USD,4h,8/26/9,25,30,0.02,0.0,-9.242527771642806,123,0.19204460094562642,-2.5904005421013676,37
BTC-USD,4h,8/26/9,25,20,0.02,0.0,-9.129715236692649,123,0.18853980767862652,-2.590790653957886,37
BTC-USD,4h,8/26/9,25,30,0.015,0.0,-8.929449425702218,123,0.13991911853653766,-2.5942323189680705,37
BTC-USD,4h,12/24/9,25,20,0.02,0.0,-10.63369177632657,111,0.01133175067389797,-2.750046191512645,36
BTC-USD,4h,12/24/9,25,30,0.02,0.0,-10.720101479686816,111,0.01133175067389797,-2.750046191512645,36
BTC-USD,4h,12/24/9,25,20,0.015,0.0,-10.337155296994027,111,0.006550725090349048,-2.7503985744489423,36
BTC-USD,1h,8/24/9,25,20,0.015,0.0,-14.803338998133198,523,0.0,-3.363818564157528,178
BTC-USD,1h,8/24/9,25,20,0.02,0.0,-14.532293447825973,523,0.0,-3.363818564157528,178
BTC-USD,1h,8/24/9,25,30,0.015,0.0,-14.677640403884451,523,0.0,-3.363818564157528,178
BTC-USD,1h,8/24/9,25,30,0.02,0.0,-14.530207467706301,523,0.0,-3.363818564157528,178
BTC-USD,1h,8/26/9,25,20,0.015,0.0,-15.70271029272341,521,0.0,-3.6370210741278886,179
BTC-USD,1h,8/26/9,25,20,0.02,0.0,-15.28910540056243,521,0.0,-3.6370210741278886,179
BTC-USD,1h,8/26/9,25,30,0.015,0.0,-15.373376373447744,521,0.0,-3.6370210741278886,179
BTC-USD,1h,8/26/9,25,30,0.02,0.0,-15.247699179494267,521,0.0,-3.6370210741278886,179
BTC-USD,1h,12/24/9,25,20,0.015,0.0,-16.9379753088148,448,0.0,-4.39133166955139,168
BTC-USD,1h,12/24/9,25,20,0.02,0.0,-16.6946091274072,448,0.0,-4.39133166955139,168
BTC-USD,1h,12/24/9,25,30,0.015,0.0,-16.82790510761112,448,0.0,-4.39133166955139,168
BTC-USD,1h,12/24/9,25,30,0.02,0.0,-16.6946091274072,448,0.0,-4.39133166955139,168
BTC-USD,1h,12/26/9,25,20,0.015,0.0,-16.37902532562422,434,0.0,-4.549626778225857,165
BTC-USD,1h,12/26/9,25,20,0.02,0.0,-16.063705862349543,434,0.0,-4.549626778225857,165
BTC-USD,1h,12/26/9,25,30,0.015,0.0,-16.178390153491375,434,0.0,-4.549626778225857,165
BTC-USD,1h,12/26/9,25,30,0.02,0.0,-16.015441037518173,434,0.0,-4.549626778225857,165
BTC-USD,4h,8/24/9,20,20,0.015,0.0,-7.537475024569185,188,0.0,-2.957642140492489,62
BTC-USD,4h,8/24/9,20,20,0.02,0.0,-7.953000261513221,188,0.0,-2.961578074930582,62
BTC-USD,4h,8/24/9,20,30,0.015,0.0,-7.7129684684633215,188,0.0,-2.952645040047819,62
BTC-USD,4h,8/24/9,20,30,0.02,0.0,-8.035216739797612,188,0.0,-2.964010120757632,62
BTC-USD,4h,8/24/9,25,20,0.015,0.0,-8.849961698611953,125,0.0,-2.4584629449825424,41
BTC-USD,4h,8/24/9,25,20,0.02,0.0,-9.14867404893448,125,0.0,-2.5950512079992882,41
BTC-USD,4h,8/24/9,25,30,0.015,0.0,-8.972199974114304,125,0.0,-2.596253488856537,41
BTC-USD,4h,8/24/9,25,30,0.02,0.0,-9.240582733242253,125,0.0,-2.593766903887751,41
BTC-USD,4h,8/26/9,20,20,0.015,0.0,-6.761880517515317,186,0.0,-3.8859090728578516,58
BTC-USD,4h,8/26/9,20,20,0.02,0.0,-7.205831593768153,186,0.0,-3.9215858308750295,58
BTC-USD,4h,8/26/9,20,30,0.015,0.0,-6.892718772584583,186,0.0,-3.7658965810434264,58
BTC-USD,4h,8/26/9,20,30,0.02,0.0,-7.275904726152604,186,0.0,-3.937407055312525,58
BTC-USD,4h,12/24/9,20,20,0.015,0.0,-8.077335977020095,164,0.0,-4.5591831054739735,57
BTC-USD,4h,12/24/9,20,20,0.02,0.0,-8.573600215636946,164,0.0,-4.839326216344675,57
BTC-USD,4h,12/24/9,20,30,0.015,0.0,-8.22330401309972,164,0.0,-4.36888593840199,57
BTC-USD,4h,12/24/9,20,30,0.02,0.0,-8.633933489880185,164,0.0,-4.893357854487879,57
BTC-USD,4h,12/24/9,25,30,0.015,0.0,-10.53214675396702,111,0.0,-2.805522372682301,36
BTC-USD,4h,12/26/9,20,20,0.015,0.0,-9.535403929675967,156,0.0,-4.7326316267780495,55
BTC-USD,4h,12/26/9,20,20,0.02,0.0,-10.03393611147041,156,0.0,-4.939675060426829,55
BTC-USD,4h,12/26/9,20,30,0.015,0.0,-9.745558836518153,156,0.0,-4.639590242068858,55
BTC-USD,4h,12/26/9,20,30,0.02,0.0,-10.15682524725172,156,0.0,-4.976238055409421,55
ETH-USD,4h,12/24/9,30,20,0.015,0.0,-10.604695856797285,75,2.585409306490466,-2.172838102094421,25
ETH-USD,4h,12/24/9,30,30,0.015,0.0,-10.791514594561324,75,2.5758596081767875,-2.3542130044615583,25
ETH-USD,4h,12/24/9,30,20,0.02,0.0,-11.059048487067525,75,2.372685829020104,-2.792269667958236,25
ETH-USD,1h,12/24/9,30,30,0.02,0.2172710291476461,-7.429715723842412,324,2.368722835428205,-4.893897444527806,118
ETH-USD,1h,12/24/9,30,20,0.02,0.20501333954862708,-7.485659337610551,324,2.3529818037305223,-4.892589880478681,118
ETH-USD,1h,12/24/9,30,30,0.015,0.20039822351095335,-7.501005514356873,324,2.3288200060367688,-4.896720558712165,118
ETH-USD,4h,12/24/9,30,30,0.02,0.0,-11.175811506707667,75,2.327928065720605,-2.9807850804639546,25
ETH-USD,1h,12/24/9,30,20,0.015,0.1933620554320623,-7.532858334617143,324,2.295152304475858,-4.89582273794097,118
ETH-USD,4h,12/26/9,30,30,0.015,0.0,-10.455735708930703,79,2.273922716286562,-2.0719860447703353,21
ETH-USD,4h,12/26/9,30,20,0.015,0.0,-10.344661992914562,79,2.2649237009996037,-1.90977553729893,21
ETH-USD,4h,12/26/9,30,20,0.02,0.0,-10.704719426945896,79,2.111968254610477,-2.4939406298906897,21
ETH-USD,1h,12/26/9,30,30,0.02,0.3326325803830277,-7.281929608781201,304,2.080604673883336,-4.778129483974025,115
ETH-USD,4h,12/26/9,30,30,0.02,0.0,-10.815235812855938,79,2.060661804865667,-2.6830161844189293,21
ETH-USD,1h,12/26/9,30,20,0.02,0.32086208712263226,-7.338916838713672,304,2.0573156562308585,-4.780722506180835,115
ETH-USD,1h,8/26/9,25,30,0.02,0.24620384314435562,-8.445358763783794,498,2.037459146539768,-6.586103423484413,188
ETH-USD,1h,12/26/9,30,30,0.015,0.3167832108287733,-7.357151456391797,304,2.0352844070223606,-4.774383866472231,115
ETH-USD,1h,8/26/9,25,20,0.02,0.24859951362831154,-8.42833180480158,498,2.0141403829224314,-6.58343179599008,188
ETH-USD,1h,8/26/9,25,30,0.015,0.23426404227600844,-8.449912937726388,498,1.9979927034133278,-6.583001223202589,188
ETH-USD,1h,12/26/9,30,20,0.015,0.3099666799466985,-7.390407050926939,304,1.996261071497047,-4.779925845738542,115
ETH-USD,1h,8/26/9,25,20,0.015,0.22944450067652394,-8.490856483355048,498,1.9693988709616326,-6.579924459682118,188
ETH-USD,4h,8/26/9,30,30,0.015,0.0,-11.368656761936514,88,1.8200581439470838,-2.318336477598626,29
ETH-USD,4h,8/26/9,30,20,0.015,0.0,-11.083988763319608,88,1.7959348753067943,-2.206485954158055,29
ETH-USD,1h,8/24/9,30,30,0.02,0.0,-7.999434062111488,375,1.7680739782392279,-4.299752724668215,130
ETH-USD,1h,8/24/9,30,20,0.02,0.0,-8.059945399183999,375,1.73534144315469,-4.301756538148571,130
ETH-USD,4h,8/24/9,30,30,0.015,0.0,-12.389786690641092,92,1.7223508229085358,-2.6520453404461297,31
ETH-USD,1h,8/26/9,30,30,0.02,0.04025784044487956,-7.170574839270705,369,1.722347248351599,-4.4067509258704725,129
ETH-USD,1h,8/24/9,30,30,0.015,0.0,-8.135903167536906,375,1.7004320092073044,-4.299067686814428,130
ETH-USD,1h,8/26/9,30,20,0.02,0.034820219809267534,-7.158725025908219,369,1.6892948792071423,-4.403160758975444,129
ETH-USD,4h,8/24/9,30,20,0.015,0.0,-12.170172406882063,92,1.6843526045877397,-2.436428044493344,31
ETH-USD,1h,8/26/9,30,30,0.015,0.02683063869790732,-7.1969275572177915,369,1.653909700122835,-4.406772658978808,129
ETH-USD,1h,8/24/9,30,20,0.015,0.0,-8.235530647515132,375,1.6345848428574015,-4.298346291596145,130
ETH-USD,4h,8/26/9,30,20,0.02,0.0,-11.493193765053999,88,1.619573627991094,-2.7635973092518196,29
ETH-USD,4h,8/26/9,30,30,0.02,0.0,-11.619033749196916,88,1.6083350198492652,-2.9585749991930976,29
ETH-USD,1h,8/26/9,30,20,0.015,0.018915329276026314,-7.216027889422271,369,1.5901220447684616,-4.406289934930618,129
ETH-USD,1h,12/24/9,25,30,0.02,0.6650932806110781,-7.234929902309317,422,1.5790176418426483,-6.480325872527148,166
ETH-USD,1h,12/24/9,25,20,0.02,0.6562400912521096,-7.29014676125872,422,1.5553667757651322,-6.481160978051925,166
ETH-USD,1h,12/24/9,25,30,0.015,0.6444191645607142,-7.330056954352848,422,1.539296892316988,-6.479496612190605,166
ETH-USD,1h,12/24/9,20,30,0.02,0.0,-9.552495930874317,584,1.5103960907550242,-5.391293419757492,239
ETH-USD,4h,8/24/9,30,20,0.02,0.0,-12.577636774743816,92,1.5085866686097054,-3.1375020826355016,31
ETH-USD,1h,12/24/9,25,20,0.015,0.6380212111152308,-7.378604077042161,422,1.5071933759518243,-6.482315139873263,166
ETH-USD,4h,8/24/9,30,30,0.02,0.0,-12.69026621494157,92,1.504111593333248,-3.3700972603927126,31
ETH-USD,1h,12/24/9,20,20,0.02,0.0,-9.571765504800622,584,1.4778412413324764,-5.391648631238999,239
ETH-USD,1h,12/24/9,20,30,0.015,0.0,-9.52846167376804,584,1.456755488647022,-5.362771770480334,239
ETH-USD,1h,12/24/9,20,20,0.015,0.0,-9.596702061829365,584,1.423491977022727,-5.286364677810518,239
ETH-USD,1h,8/26/9,20,30,0.02,0.0,-6.690861494310008,686,1.283380474614225,-6.245327482657414,280
ETH-USD,1h,8/24/9,25,30,0.02,0.41896538037235115,-8.615646791708409,502,1.237847587596582,-7.649365387585016,193
ETH-USD,1h,8/26/9,20,20,0.02,0.0,-6.689004411063371,686,1.2374501532533373,-6.243302283948394,280
